Tabla/ Accion/ Id fila modificada/ Direccion ip/ Fecha/ Usuario/ Nombre del Usuario
Autos/ CREATE/ 86/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ CREATE/ 87/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ UPDATE/ 87/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ CREATE/ 88/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ CREATE/ 89/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ DELETE/ 89/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Choferes/ CREATE/ 20/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Choferes/ UPDATE/ 20/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Choferes/ CREATE/ 21/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ CREATE/ 90/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Contratos/ CREATE/ 38/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Contratos/ UPDATE/ 38/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ CREATE/ 91/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Contratos/ CREATE/ 39/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ CREATE/ 92/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Contratos/ CREATE/ 40/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Turista/ DELETE/ 73/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Turista/ UPDATE/ 74/ 127.0.0.1/ 2017-07-12/ test-user/ usuario de prueba test user
Autos/ CREATE/ 93/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ CREATE/ 94/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ UPDATE/ 94/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ CREATE/ 95/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ CREATE/ 96/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ DELETE/ 96/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Choferes/ CREATE/ 22/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Choferes/ UPDATE/ 22/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Choferes/ CREATE/ 23/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ CREATE/ 97/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
